City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Nation,Date
Luanda,-8.8368,13.2343,84.2,74,40,4.61,AO,1674557488
Mahébourg,-20.4081,57.7,82.69,65,75,9.22,MU,1674557699
Itō,34.9667,139.0833,37.69,57,46,3.0,JP,1674557699
Namatanai,-3.6667,152.4333,80.04,81,81,6.38,PG,1674557699
Praia da Vitória,38.7333,-27.0667,59.76,82,40,17.94,PT,1674557700
Sungai Penuh,-2.0833,101.3833,65.5,98,100,2.62,ID,1674557700
Sakata,38.9167,139.855,23.18,74,75,18.41,JP,1674557700
Kapaa,22.0752,-159.319,72.79,82,12,4.36,US,1674557700
Inyonga,-6.7167,32.0667,80.71,56,98,1.63,TZ,1674557700
Saint Anthony,45.0205,-93.218,22.93,93,0,6.91,US,1674557700
Yar-Sale,66.8333,70.8333,14.22,96,100,14.76,RU,1674557630
Bethel,41.3712,-73.414,35.49,75,20,10.6,US,1674557700
George Town,5.4112,100.3354,83.95,87,40,7.0,MY,1674557476
Constitución,-35.3333,-72.4167,61.77,93,76,4.65,CL,1674557701
Rikitea,-23.1203,-134.9692,78.17,79,5,18.41,PF,1674557701
Bridgetown,13.1,-59.6167,77.49,73,20,17.27,BB,1674557701
Alta Floresta,-9.8756,-56.0861,70.65,99,100,2.68,BR,1674557701
Punta Arenas,-53.15,-70.9167,42.91,70,20,14.97,CL,1674557701
Osakarovka,50.565,72.5692,1.4,100,94,4.0,KZ,1674557701
Darnah,32.767,22.6367,64.26,44,0,5.93,LY,1674557702
Taoudenni,22.6783,-3.9836,72.86,15,0,6.96,ML,1674557702
Atambua,-9.1061,124.8925,75.47,85,100,0.72,ID,1674557702
Upernavik,72.7868,-56.1549,-4.49,83,100,10.65,GL,1674557702
Ancud,-41.8697,-73.8203,53.24,79,20,4.56,CL,1674557702
Kailahun,8.2833,-10.5667,85.19,58,74,2.24,SL,1674557702
Gore,-46.1028,168.9436,46.02,93,3,2.66,NZ,1674557702
Adamovka,51.5223,59.9396,7.57,96,39,1.41,RU,1674557703
Chokurdakh,70.6333,147.9167,-22.76,92,100,1.57,RU,1674557703
Ibaté,-21.9547,-47.9967,67.64,95,100,4.16,BR,1674557703
Albany,42.6001,-73.9662,32.58,82,92,10.13,US,1674557703
Busselton,-33.65,115.3333,68.92,68,0,22.1,AU,1674557703
Sos'va,59.1766,61.8558,23.05,93,32,5.14,RU,1674557703
Ridgecrest,35.6225,-117.6709,39.47,39,0,6.91,US,1674557703
Khatanga,71.9667,102.5,-38.09,96,80,6.4,RU,1674557703
